Fecha,Fecha,Fecha,Base,Base,Base,Base,Base,Base,Moneda,Moneda,Amortización,Amortización,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Factores,Factores,Factores,Factores,Interés,Interés,Flujo de fondos total,Flujo de fondos total,Flujo de fondos total,Período,Período
Efectiva,Cup. #,Teórica,Emisor,Ticker,Legislación,Jurisdicción pago,VN,Denominación,Mon. pago,Mon. denom.,Amortización (vn),Valor residual,Interés,Amortización,Total,Referencias,Índ./TC,Aj. capital,Interés capit.,Tasa de int.,Interés (vn),Interés,Amortización,Total,Base,Días
2026-07-31T00:00:00.000Z,1,2026-07-31T00:00:00.000Z,Argentina,X31L6,Argentina,Argentina,1410156860650.00,GOB ARS ARG Lecer (X31L6),ARS,ARS,100.00%,,,117.71,117.71,CER,,1.18,1.00,,,,1659895640671.12,1659895640671.12,360.00,180.00
2026-09-30T00:00:00.000Z,45,2026-09-30T00:00:00.000Z,Argentina,PAP0,Argentina,Argentina,11245518.00,GOB ARS ARG Boncer (PAP0),ARS,ARS,,100.00%,490.82,,490.82,CER,,554.60,1.00,1.77%,0.89%,55194925.33,,55194925.33,360.00,180.00
2026-09-30T00:00:00.000Z,45,2026-09-30T00:00:00.000Z,Argentina,PARP,Argentina,Argentina,2827634626.59,GOB ARS ARG Boncer (PARP),ARS,ARS,,100.00%,490.82,,490.82,CER,,554.60,1.00,1.77%,0.89%,13878514272.82,,13878514272.82,360.00,180.00
2026-09-30T00:00:00.000Z,1,2026-09-30T00:00:00.000Z,Argentina,X30S6,Argentina,Argentina,1117884153820.00,GOB ARS ARG Lecer (X30S6),ARS,ARS,100.00%,,,112.87,112.87,CER,,1.13,1.00,,,,1261755844416.63,1261755844416.63,360.00,194.00
2026-10-30T00:00:00.000Z,1,2026-10-30T00:00:00.000Z,Argentina,TZXO6,Argentina,Argentina,3571218397355.00,GOB ARS ARG Boncer (TZXO6),ARS,ARS,100.00%,,,168.07,168.07,CER,,1.68,1.00,,,,6002146760434.55,6002146760434.55,360.00,720.00
2026-11-09T00:00:00.000Z,12,2026-11-09T00:00:00.000Z,Argentina,TX26,Argentina,Argentina,222131126534.00,GOB ARS ARG Boncer (TX26),ARS,ARS,20.00%,,7.16,715.93,723.09,CER,,35.80,1.00,2.00%,0.20%,15902944889.50,1590294488949.81,1606197433839.30,360.00,180.00
2026-11-09T00:00:00.000Z,12,2026-11-09T00:00:00.000Z,Argentina,TX28,Argentina,Argentina,75904842660.00,GOB ARS ARG Boncer (TX28),ARS,ARS,10.00%,40.00%,20.14,357.96,378.10,CER,,35.80,1.00,2.25%,0.56%,15283758869.93,271711251931.02,286995010800.95,360.00,180.00
2026-11-30T00:00:00.000Z,9,2026-11-30T00:00:00.000Z,Argentina,TX31,Argentina,Argentina,110944599869.00,GOB ARS ARG Boncer (TX31),ARS,ARS,,100.00%,21.50,,21.50,CER,,17.20,1.00,2.50%,1.25%,23855729453.31,,23855729453.31,360.00,180.00
2026-11-30T00:00:00.000Z,1,2026-11-30T00:00:00.000Z,Argentina,X30N6,Argentina,Argentina,5449040821147.00,GOB ARS ARG Lecer (X30N6),ARS,ARS,100.00%,,,122.33,122.33,CER,,1.22,1.00,,,,6665811636509.13,6665811636509.13,360.00,345.00
2026-12-15T00:00:00.000Z,1,2026-12-15T00:00:00.000Z,Argentina,TZXD6,Argentina,Argentina,8870756582981.00,GOB ARS ARG Boncer (TZXD6),ARS,ARS,100.00%,,,297.73,297.73,CER,,2.98,1.00,,,,26410903574509.34,26410903574509.34,360.00,990.00
2027-01-04T00:00:00.000Z,46,2026-12-31T00:00:00.000Z,Argentina,CUAP,Argentina,Argentina,23434050685.00,GOB ARS ARG Boncer (CUAP),ARS,ARS,,100.00%,1274.53,,1274.53,CER,,554.60,1.39,3.31%,2.30%,298673230528.45,,298673230528.45,360.00,180.00
2027-01-04T00:00:00.000Z,46,2026-12-31T00:00:00.000Z,Argentina,DICP,Argentina,Argentina,4212370224.60,GOB ARS ARG Boncer (DICP),ARS,ARS,5.00%,70.00%,1539.78,3521.50,5061.28,CER,,554.60,1.27,5.83%,2.78%,64861129356.33,148338775423.17,213199904779.50,360.00,180.00
2027-01-04T00:00:00.000Z,46,2026-12-31T00:00:00.000Z,Argentina,DIP0,Argentina,Argentina,125510513.00,GOB ARS ARG Boncer (DIP0),ARS,ARS,5.00%,70.00%,1539.78,3521.50,5061.28,CER,,554.60,1.27,5.83%,2.78%,1932582651.86,4419857421.94,6352440073.80,360.00,180.00
