Descripción,Descripción,Descripción,Fechas de pago,Fechas de pago,Fechas de pago,Fechas de pago,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Últ. operación,Descripción,Descripción,Descripción,Descripción,Descripción,Descripción,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión,Cond. de emisión
Estado,Emisor,Ticker,Emisión,Vencimiento,Próximo pago,Último pago,Fuente,Fecha,Precio dirty,Precio clean,Precio (prom.),Monto acum. ($),Monto acum. (VN),TNA,TEA,TEM,Margen (TNA),Dur.,Dur. mod.,Rend. corriente,Paridad,Convexidad,Denominación,Tipo activo,Clase,Serie,ISIN,Convención int.,Moneda denom.,Moneda pago,Periodicidad int.,Tipo cupón,Tasa int.,Margen ref.,Tasa ref.,Lámina mín.,Operación mín.,VN vigente,VR vigente,Valor Residual,Jurisdicción pago,Legislación,Referencias,Callable
,Argentina,S31L6,2026-01-30T00:00:00.000Z,2026-07-31T00:00:00.000Z,2026-07-31T00:00:00.000Z,2026-01-30T00:00:00.000Z,1816,2026-07-27T19:53:16.000Z,117.48,100.02,,14983005620.29,12753454996.00,20.48%,22.10%,1.68%,,0.01,0.01,35.35%,100.02%,0.01,GOB ARS ARG Lecap (S31L6),Títulos Públicos,,,AR0377625857,90/360,ARS,ARS,Nula,Fijo,2.75%,,,1.00,1.00,2917921649331.00,2917921649331.00,100.00%,Argentina,Argentina,,No
,Argentina,X31L6,2026-01-30T00:00:00.000Z,2026-07-31T00:00:00.000Z,2026-07-31T00:00:00.000Z,2026-01-30T00:00:00.000Z,1816,2026-07-27T19:56:44.000Z,117.75,117.75,,15494476353.57,13157603033.00,-3.60%,-3.55%,-0.30%,,0.01,0.01,,100.03%,0.01,GOB ARS ARG Lecer (X31L6),Títulos Públicos,,,AR0189940411,90/360,ARS,ARS,Nula,Cero,,,,1.00,1.00,1410156860650.00,1410156860650.00,100.00%,Argentina,Argentina,CER,No
,Argentina,S14G6,2026-04-17T00:00:00.000Z,2026-08-14T00:00:00.000Z,2026-08-14T00:00:00.000Z,2026-04-17T00:00:00.000Z,1816,2026-07-27T20:00:21.000Z,106.90,100.01,,86389690535.34,80802204060.00,23.20%,25.30%,1.90%,,0.05,0.05,24.70%,100.01%,0.03,GOB ARS ARG Lecap (S14G6),Títulos Públicos,,,AR0077601562,90/360,ARS,ARS,Nula,Fijo,2.00%,,,1.00,1.00,4147233893478.00,4147233893478.00,100.00%,Argentina,Argentina,,No
,Argentina,M31G6,2025-11-10T00:00:00.000Z,2026-08-31T00:00:00.000Z,2026-08-31T00:00:00.000Z,2025-11-10T00:00:00.000Z,1816,2026-07-27T19:55:15.000Z,127.14,100.65,,8953099155.09,7041793385.00,23.67%,25.86%,1.93%,0.80%,0.09,0.09,36.74%,100.51%,0.06,GOB ARS ARG Tamar (M31G6),Títulos Públicos,,,AR0593866319,90/360,ARS,ARS,Nula,Variable,32.81%,5.00%,Tamar,1.00,1.00,5506827804760.00,5506827804760.00,100.00%,Argentina,Argentina,Tamar,No
,Argentina,S31G6,2025-11-10T00:00:00.000Z,2026-08-31T00:00:00.000Z,2026-08-31T00:00:00.000Z,2025-11-10T00:00:00.000Z,1816,2026-07-27T20:00:01.000Z,124.48,100.82,,34165139149.68,27509798564.00,22.68%,24.68%,1.86%,,0.09,0.09,33.21%,100.66%,0.06,GOB ARS ARG Lecap (S31G6),Títulos Públicos,,,AR0960697990,90/360,ARS,ARS,Nula,Fijo,2.50%,,,1.00,1.00,2220011479572.00,2220011479572.00,100.00%,Argentina,Argentina,,No
,Argentina,S15S6,2026-05-29T00:00:00.000Z,2026-09-15T00:00:00.000Z,2026-09-15T00:00:00.000Z,2026-05-29T00:00:00.000Z,1816,2026-07-27T20:00:13.000Z,103.96,100.01,,33673354010.93,32389867464.00,23.60%,25.77%,1.93%,,0.13,0.13,24.48%,100.01%,0.09,GOB ARS ARG Lecap (S15S6),Títulos Públicos,,,AR0614758420,90/360,ARS,ARS,Nula,Fijo,1.99%,,,1.00,1.00,4018901468382.00,4018901468382.00,100.00%,Argentina,Argentina,,No
,Argentina,X30S6,2026-03-16T00:00:00.000Z,2026-09-30T00:00:00.000Z,2026-09-30T00:00:00.000Z,2026-03-16T00:00:00.000Z,1816,2026-07-27T19:56:30.000Z,112.76,112.76,,6279572145.30,5591178026.00,0.53%,0.53%,0.04%,,0.18,0.18,,99.91%,0.20,GOB ARS ARG Lecer (X30S6),Títulos Públicos,,,AR0362438175,90/360,ARS,ARS,Nula,Cero,,,,1.00,1.00,1117884153820.00,1117884153820.00,100.00%,Argentina,Argentina,CER,No
,Argentina,S30S6,2026-03-16T00:00:00.000Z,2026-09-30T00:00:00.000Z,2026-09-30T00:00:00.000Z,2026-03-16T00:00:00.000Z,1816,2026-07-27T20:00:07.000Z,112.88,101.26,,179805366184.90,159264994012.00,23.72%,25.91%,1.94%,,0.18,0.17,32.14%,101.13%,0.13,GOB ARS ARG Lecap (S30S6),Títulos Públicos,,,AR0379015875,90/360,ARS,ARS,Nula,Fijo,2.53%,,,1.00,1.00,4779220927749.00,4779220927749.00,100.00%,Argentina,Argentina,,No
,Argentina,TO26,2016-10-17T00:00:00.000Z,2026-10-17T00:00:00.000Z,2026-10-17T00:00:00.000Z,2026-04-17T00:00:00.000Z,1816,2026-07-27T19:56:55.000Z,102.40,98.05,,1591297250.43,1557481460.00,23.03%,25.10%,1.88%,,0.23,0.20,15.81%,98.13%,0.13,GOB ARS ARG Bote (TO26),Títulos Públicos,,,ARARGE4502K0,90/360,ARS,ARS,Semestral,Fijo,15.50%,,,1.00,1.00,96569713740.00,96569713740.00,100.00%,Argentina,Argentina,,No
